URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
bctech2147,https://insights.blackcoffer.com/callrail-analytics-leads-report-alert/,11,1,0.83,0.05,20.1,0.21,8.124,20.08,51,241,2.120331950207469,2,5.909375
bctech2148,https://insights.blackcoffer.com/marketing-automation-tool-to-notify-lead-details-to-clients-over-email-and-phone/,9,1,0.8,0.05,27.1,0.24,10.936,27.12,51,217,2.1566820276497696,2,5.951048951048951
bctech2149,https://insights.blackcoffer.com/data-etl-local-service-ads-leads-to-bigquery/,12,1,0.85,0.06,24.7,0.22,9.968,24.67,49,222,2.1486486486486487,2,6.070422535211268
bctech2150,https://insights.blackcoffer.com/marbles-stimulation-using-python/,12,3,0.6,0.06,16.9,0.22,6.847999999999999,16.93,56,254,2.0826771653543306,4,5.466836734693878
bctech2151,https://insights.blackcoffer.com/stocktwits-data-structurization/,23,11,0.35,0.05,13.9,0.15,5.620000000000001,13.9,111,723,1.9806362378976488,8,5.4839319470699435
bctech2152,https://insights.blackcoffer.com/sentimental-analysis-on-shareholder-letter-of-companies/,17,8,0.36,0.06,17.4,0.17,7.0280000000000005,17.44,76,436,2.217889908256881,5,5.719874804381846
bctech2153,https://insights.blackcoffer.com/population-and-community-survey-of-america/,22,10,0.37,0.05,18.2,0.17,7.348000000000001,18.18,115,691,2.0520984081041966,5,5.415784408084697
bctech2154,https://insights.blackcoffer.com/google-lsa-api-data-automation-and-dashboarding/,31,20,0.22,0.05,14.8,0.12,5.968,14.84,121,1024,2.01953125,9,5.312823834196891
bctech2155,https://insights.blackcoffer.com/healthcare-data-analysis/,21,9,0.4,0.11,18.9,0.18,7.632,18.87,52,283,2.0141342756183747,13,5.520383693045564
bctech2156,https://insights.blackcoffer.com/budget-sales-kpi-dashboard-using-power-bi/,8,1,0.78,0.06,32.2,0.26,12.984000000000002,32.2,42,161,2.3167701863354035,2,6.67
bctech2157,https://insights.blackcoffer.com/amazon-buy-bot-an-automation-ai-tool-to-auto-checkouts/,10,1,0.82,0.05,19.7,0.22,7.968,19.73,48,217,2.152073732718894,3,5.845117845117845
